Año,Mes,Día,Hora,Minuto,Segundo,pm25,calidad_pm25,calidad
2021,01,09,12,00,00,4.8368,1,1,
2021,01,09,13,00,00,7.2663,1,1,
2021,01,09,14,00,00,7.3103,1,1,
2021,01,09,15,00,00,9.8086,1,1,
2021,01,09,16,00,00,4.8832,1,1,
2021,01,09,17,00,00,6.0553,1,1,
2021,01,09,18,00,00,3.6215,1,1,
2021,01,09,19,00,00,6.0005,1,1,
2021,01,09,20,00,00,7.1808,1,1,
2021,01,09,21,00,00,16.7184,1,1,
2021,01,09,22,00,00,17.8833,1,1,
2021,01,09,23,00,00,9.5072,1,1,
2021,01,10,00,00,00,13.0201,1,1,
2021,01,10,01,00,00,2.3664,1,1,
2021,01,10,02,00,00,4.7220,1,1,
2021,01,10,03,00,00,7.0669,1,1,
2021,01,10,04,00,00,5.8830,1,1,
2021,01,10,05,00,00,24.6569,1,1,
2021,01,10,06,00,00,29.3355,1,1,
2021,01,10,07,00,00,45.7949,1,1,
2021,01,10,08,00,00,23.7008,1,1,
2021,01,10,09,00,00,8.3226,1,1,
2021,01,10,10,00,00,15.6315,1,1,
2021,01,10,11,00,00,6.0516,1,1,
2021,01,10,12,00,00,7.3078,1,1,
2021,01,10,13,00,00,15.9251,1,1,
2021,01,10,14,00,00,14.7501,1,1,
2021,01,10,15,00,00,1.2252,1,1,
2021,01,10,16,00,00,8.6244,1,1,
2021,01,10,17,00,00,7.3752,1,1,
2021,01,10,18,00,00,3.6401,1,1,
2021,01,10,19,00,00,4.8166,1,1,
2021,01,10,20,00,00,3.5988,1,1,
2021,01,10,21,00,00,5.9763,1,1,
2021,01,10,22,00,00,9.5453,1,1,
2021,01,10,23,00,00,3.5733,1,1,
2021,01,11,00,00,00,3.5683,1,1,
2021,01,11,01,00,00,0.0000,1,1,
2021,01,11,02,00,00,5.9147,1,1,
2021,01,11,03,00,00,17.7105,1,1,
2021,01,11,04,00,00,31.8384,1,1,
2021,01,11,05,00,00,14.1321,1,1,
